Gene	Root	Stamen	Pistil	Leaf	Perisperm	Endosperm
Cc01t00940.1	207.4	28.0	40.7	355.9	134.4	16.4
Cc01t00950.1	1.9	0.6	0.4	12.3	3.1	0.2
Cc01t00960.1	9.9	0.5	1.5	7.1	6.6	10.1
Cc01t00970.1	43.4	8.3	24.2	69.7	29.0	22.7
Cc01t00980.1	28.7	13.7	28.8	47.2	37.7	25.4
Cc01t00990.1	3.0	0.3	3.5	10.1	11.7	5.8
Cc01t01000.1	3.6	0.5	0.4	2.4	1.3	2.0
Cc01t01010.1	78.8	40.6	80.5	63.5	65.0	71.2
Cc01t01020.1	2.0	6.0	2.0	1.4	9.7	12.8
Cc01t01030.1	9.0	5.2	9.1	4.3	47.1	24.6
Cc01t01040.1	46.0	2.6	6.9	26.3	6.2	14.2
Cc01t01050.1	2.1	0.0	0.3	1.2	0.3	0.8
Cc01t01060.1	20.2	0.4	0.3	8.0	7.1	0.1
Cc01t01070.1	8.6	0.0	0.0	0.0	0.0	0.0
Cc01t01080.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t01090.1	0.3	0.0	0.0	0.1	0.0	0.0
Cc01t01100.1	3.6	0.0	0.0	0.9	0.0	0.1
Cc01t01110.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t01120.1	17.9	0.0	0.0	2.1	0.1	0.4
Cc01t01130.1	10.2	0.2	3.1	58.7	3.5	0.2
Cc01t01140.1	27.0	3.6	16.0	56.6	14.0	14.9
Cc01t01150.1	61.8	21.3	51.8	70.3	36.7	73.5
Cc01t01160.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t01170.1	0.0	0.3	0.2	1.4	0.0	0.0
Cc01t01180.1	4.2	1.1	1.0	1.7	3.6	0.7
Cc01t01190.1	0.3	0.3	0.0	0.0	0.1	0.7
Cc01t01200.1	6.1	20.6	17.6	8.0	435.6	22.3
Cc01t01210.1	20.5	32.5	5.2	3.5	553.3	39.5
Cc01t01220.1	46.4	126.0	56.6	20.0	19.0	37.0
Cc01t01230.1	67.7	178.1	92.9	29.1	24.8	38.4
Cc01t01240.1	1.1	8.9	1.2	2.9	3.3	4.9
Cc01t01250.1	3.1	0.5	0.4	1.7	1.2	2.2
Cc01t01260.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t01270.1	0.0	0.1	0.0	0.0	0.0	0.1
Cc01t01280.1	5.1	1.6	3.0	4.6	3.9	26.8
Cc01t01290.1	0.0	0.0	0.0	0.0	0.0	0.1
