PANEL	Genetic_Stock_Acc	GS_IRIS_varname	Source_accno	Country_Origin (ISO standard)	Orytage	IN-PRAY	TJ-PRAY	3K_DNA_IRIS_UNIQUE_ID	TYPE	
49	3K-IRRI	IRGC 125830	MAEKJO::IRGC 77666-1	IRGC 77666	Korea, Republic of				IRIS 313-10097	temp
50	3K-IRRI	IRGC 126303	MANONGAZATO::IRGC 77876-1	IRGC 77876	Madagascar				IRIS 313-10099	trop1
51	3K-IRRI	IRGC 127056	KELIRENY::IRGC 78426-1	IRGC 78426	Madagascar				IRIS 313-10102	ind2
52	3K-IRRI	IRGC 125721	DALSUNG 41::IRGC 79385-1	IRGC 79385	Korea, Republic of				IRIS 313-10103	indx
53	3K-IRRI	IRGC 125735	EX EBOKOZURU::IRGC 79912-1	IRGC 79912	Nigeria				IRIS 313-10109	ind3
54	3K-IRRI	IRGC 125843	MOLO::IRGC 81603-1	IRGC 81603	Italy				IRIS 313-10111	japx
55	3K-IRRI	IRGC 125736	EX FOILAEIN (NAPUTO)::IRGC 81675-1	IRGC 81675	Mozambique				IRIS 313-10113	indx
56	3K-IRRI	IRGC 125739	FACAGRO 64::IRGC 82059-1	IRGC 82059	Burundi				IRIS 313-10114	ind2
57	3K-IRRI	IRGC 125752	GITANO::IRGC 82424-1	IRGC 82424	Italy				IRIS 313-10119	japx
58	3K-IRRI		GALSAEGSSAL SHAREI::IRGC 82881-1	IRGC 82881	Korea, Republic of				IRIS 313-10124	temp
59	3K-IRRI	IRGC 125897	SAN SHIH TSI::IRGC 1038-1	IRGC 1038	China				IRIS 313-10129	ind1A
60	3K-IRRI	IRGC 125871	PIN GAEW 56::IRGC 7887-1	IRGC 7887	Thailand				IRIS 313-10134	ind3
61	3K-IRRI		RD 19::IRGC 39174-1	IRGC 39174	Thailand				IRIS 313-10147	ind3
62	3K-IRRI	IRGC 125695	CAUVERY::IRGC 45255-1	IRGC 45255	India				IRIS 313-10148	indx
