PANEL	Genetic_Stock_Acc	GS_IRIS_varname	Source_accno	Country_Origin (ISO standard)	Orytage	IN-PRAY	TJ-PRAY	3K_DNA_IRIS_UNIQUE_ID	TYPE	
608	3K-IRRI	IRGC 127591	MAIRUL::IRGC 27170-1	IRGC 27170	Indonesia				IRIS 313-11000	ind3
609	3K-IRRI	IRGC 128421	PAEDAI SOBUDI::IRGC 27222-1	IRGC 27222	Indonesia				IRIS 313-11001	trop1
610	3K-IRRI	IRGC 127918	PAE MEETO::IRGC 27254-1	IRGC 27254	Indonesia				IRIS 313-11003	trop1
611	3K-IRRI	IRGC 128423	PAE SANGGULA::IRGC 27297-1	IRGC 27297	Indonesia				IRIS 313-11004	trop1
612	3K-IRRI	IRGC 128140	PULU LOTONG::IRGC 27380-2	IRGC 27380	Indonesia				IRIS 313-11005	trop1
613	3K-IRRI	IRGC 127747	PULU RENNI::IRGC 27386-1	IRGC 27386	Indonesia				IRIS 313-11006	ind3
614	3K-IRRI	IRGC 128141	PULUT BONGO::IRGC 27397-2	IRGC 27397	Indonesia				IRIS 313-11007	trop1
615	3K-IRRI	IRGC 128142	PULUT CENRANA::IRGC 27400-2	IRGC 27400	Indonesia				IRIS 313-11008	trop1
616	3K-IRRI	IRGC 127749	PULUT HALAPA::IRGC 27403-1	IRGC 27403	Indonesia				IRIS 313-11009	trop1
617	3K-IRRI	IRGC 127750	PULUT PUTIH::IRGC 27426-1	IRGC 27426	Indonesia				IRIS 313-11010	ind3
618	3K-IRRI	IRGC 127830	SUNAR::IRGC 27470-1	IRGC 27470	Indonesia				IRIS 313-11011	indx
619	3K-IRRI		TELURIKAN::IRGC 27478-1	IRGC 27478	Indonesia				IRIS 313-11012	admix
620	3K-IRRI	IRGC 127236	BOTESWAR 2::IRGC 27536-1	IRGC 27536	Bangladesh				IRIS 313-11013	aus
621	3K-IRRI	IRGC 127253	CHAKILA::IRGC 27540-1	IRGC 27540	Bangladesh				IRIS 313-11014	aus
622	3K-IRRI	IRGC 128050	HANPA::IRGC 27547-2	IRGC 27547	Bangladesh				IRIS 313-11015	aus
623	3K-IRRI,RDP1sim	IRGC 128328	KACHILON::IRGC 27555-1	IRGC 27555	Bangladesh				IRIS 313-11016	aus
624	3K-IRRI	IRGC 128369	LOROI::IRGC 27567-1	IRGC 27567	Bangladesh				IRIS 313-11017	aus
625	3K-IRRI	IRGC 127586	MADISA::IRGC 27568-1	IRGC 27568	Bangladesh				IRIS 313-11018	aus
626	3K-IRRI	IRGC 128436	PORANG::IRGC 27577-1	IRGC 27577	Bangladesh				IRIS 313-11019	aus
627	3K-IRRI	IRGC 128236	BAMLA SUFFAID 320::IRGC 27776-1	IRGC 27776	Pakistan				IRIS 313-11020	aus
628	3K-IRRI	IRGC 127210	BARA PASHAWARI 390::IRGC 27779-1	IRGC 27779	Pakistan				IRIS 313-11021	aro
629	3K-IRRI		BASMATI SUFAID 100::IRGC 27791-1	IRGC 27791	Pakistan				IRIS 313-11022	aro
630	3K-IRRI	IRGC 127214	BASMATI SURKH 161::IRGC 27797-1	IRGC 27797	Pakistan				IRIS 313-11023	aro
631	3K-IRRI	IRGC 127217	BEGMI 135::IRGC 27845-1	IRGC 27845	Pakistan				IRIS 313-11024	aus
632	3K-IRRI	IRGC 128030	DHAN 263::IRGC 27926-2	IRGC 27926	Pakistan				IRIS 313-11025	aus
633	3K-IRRI		HANSRAJ::IRGC 27936-2	IRGC 27936	Pakistan				IRIS 313-11026	aro
634	3K-IRRI	IRGC 127454	JHONA 101::IRGC 27976-1	IRGC 27976	Pakistan				IRIS 313-11027	aus
635	3K-IRRI	IRGC 128393	MOTIA::IRGC 28036-1	IRGC 28036	Pakistan				IRIS 313-11028	aus
636	3K-IRRI	IRGC 127641	MUSHKAN 340 A::IRGC 28073-1	IRGC 28073	Pakistan				IRIS 313-11029	aus
637	3K-IRRI		MUTANT 12-42::IRGC 28076-1	IRGC 28076	Pakistan				IRIS 313-11030	aro
638	3K-IRRI	IRGC 128403	NAWAN SATHRA BAGAR 344::IRGC 28079-1	IRGC 28079	Pakistan				IRIS 313-11031	aus
639	3K-IRRI	IRGC 127710	PALAM PURI BAS 137::IRGC 28084-1	IRGC 28084	Pakistan				IRIS 313-11032	aro
640	3K-IRRI	IRGC 128448	RATRIO::IRGC 28181-1	IRGC 28181	Pakistan				IRIS 313-11033	admix
641	3K-IRRI	IRGC 127786	SANTHI 206::IRGC 28215-1	IRGC 28215	Pakistan				IRIS 313-11034	aus
642	3K-IRRI	IRGC 128513	ZIRA SHAHI::IRGC 28327-1	IRGC 28327	Pakistan				IRIS 313-11035	admix
643	3K-IRRI	IRGC 127919	34::IRGC 28371-2	IRGC 28371	Pakistan				IRIS 313-11036	aus
644	3K-IRRI	IRGC 128211	421::IRGC 28458-1	IRGC 28458	Pakistan				IRIS 313-11037	aus
645	3K-IRRI	IRGC 127924	AI NAN TSAO 39::IRGC 28461-2	IRGC 28461	China				IRIS 313-11038	ind1A
646	3K-IRRI	IRGC 128093	KWANG LU AI 4::IRGC 28480-2	IRGC 28480	China				IRIS 313-11039	ind1A
647	3K-IRRI		KAVIVARI SAMBA::IRGC 28597-2	IRGC 28597	India				IRIS 313-11040	indx
648	3K-IRRI	IRGC 127738	POONGAR::IRGC 28611-1	IRGC 28611	India				IRIS 313-11041	ind2
649	3K-IRRI		VELLAIKOTTAI::IRGC 28618-1	IRGC 28618	India				IRIS 313-11042	indx
650	3K-IRRI		BENGKA KERSEK::IRGC 28666-1	IRGC 28666	Malaysia				IRIS 313-11043	ind3
651	3K-IRRI	IRGC 128005	BUKU::IRGC 28683-2	IRGC 28683	Malaysia				IRIS 313-11044	trop1
652	3K-IRRI	IRGC 128039	ENGKABANG::IRGC 28694-2	IRGC 28694	Malaysia				IRIS 313-11045	trop1
653	3K-IRRI		LALANGIT::IRGC 28715-1	IRGC 28715	Malaysia				IRIS 313-11046	trop1
654	3K-IRRI	IRGC 127977	AUS 84::IRGC 28947-2	IRGC 28947	Bangladesh				IRIS 313-11047	aus
655	3K-IRRI	IRGC 127178	AUS 171::IRGC 29004-1	IRGC 29004	Bangladesh				IRIS 313-11048	aus
656	3K-IRRI	IRGC 127179	AUS 219::IRGC 29031-1	IRGC 29031	Bangladesh				IRIS 313-11049	aus
657	3K-IRRI	IRGC 127180	AUS 233::IRGC 29036-1	IRGC 29036	Bangladesh				IRIS 313-11050	aus
658	3K-IRRI	IRGC 127181	AUS 242::IRGC 29040-1	IRGC 29040	Bangladesh				IRIS 313-11051	aus
659	3K-IRRI	IRGC 127182	AUS 278::IRGC 29068-1	IRGC 29068	Bangladesh				IRIS 313-11052	aus
660	3K-IRRI	IRGC 127183	AUS 282::IRGC 29072-1	IRGC 29072	Bangladesh				IRIS 313-11053	aus
661	3K-IRRI	IRGC 127184	AUS 295::IRGC 29083-1	IRGC 29083	Bangladesh				IRIS 313-11054	aus
662	3K-IRRI	IRGC 127185	AUS 299::IRGC 29087-1	IRGC 29087	Bangladesh				IRIS 313-11055	aus
663	3K-IRRI	IRGC 127186	AUS 301::IRGC 29089-1	IRGC 29089	Bangladesh				IRIS 313-11056	aus
664	3K-IRRI	IRGC 127187	AUS 308::IRGC 29096-1	IRGC 29096	Bangladesh				IRIS 313-11057	aus
665	3K-IRRI	IRGC 127188	AUS 329::IRGC 29116-1	IRGC 29116	Bangladesh				IRIS 313-11058	aus
666	3K-IRRI	IRGC 127189	AUS 344::IRGC 29131-1	IRGC 29131	Bangladesh				IRIS 313-11059	aus
667	3K-IRRI		AUS 359::IRGC 29146-2	IRGC 29146	Bangladesh				IRIS 313-11060	aus
668	3K-IRRI	IRGC 127190	AUS 449::IRGC 29230-1	IRGC 29230	Bangladesh				IRIS 313-11061	aus
669	3K-IRRI	IRGC 127218	BEGUNBICHI 33::IRGC 29260-1	IRGC 29260	Bangladesh				IRIS 313-11062	aro
670	3K-IRRI		BORO 70-2::IRGC 29283-1	IRGC 29283	Bangladesh				IRIS 313-11063	aus
671	3K-IRRI		BORO 275::IRGC 29294-2	IRGC 29294	Bangladesh				IRIS 313-11064	aus
672	3K-IRRI		BORO 394::IRGC 29297-2	IRGC 29297	Bangladesh				IRIS 313-11065	aus
673	3K-IRRI	IRGC 127381	GASMAL 339::IRGC 29333-1	IRGC 29333	Bangladesh				IRIS 313-11066	admix
674	3K-IRRI	IRGC 127481	KALIBORO 600::IRGC 29367-1	IRGC 29367	Bangladesh				IRIS 313-11067	aus
675	3K-IRRI	IRGC 128426	PANKAIT 31::IRGC 29377-1	IRGC 29377	Bangladesh				IRIS 313-11068	aro
676	3K-IRRI	IRGC 128197	TUPA 15-3::IRGC 29416-2	IRGC 29416	Bangladesh				IRIS 313-11069	aro
677	3K-IRRI	IRGC 127239	TUPA::IRGC 29432-1	IRGC 29432	Bangladesh				IRIS 313-11070	admix
678	3K-IRRI	IRGC 128011	CHAO HAI::IRGC 29450-2	IRGC 29450	Lao People's Democratic Republic				IRIS 313-11071	indx
679	3K-IRRI	IRGC 128012	CHAO LEP NOK::IRGC 29451-2	IRGC 29451	Lao People's Democratic Republic				IRIS 313-11072	ind3
680	3K-IRRI		KHAO DAM::IRGC 29481-3	IRGC 29481	Lao People's Democratic Republic				IRIS 313-11073	trop2
681	3K-IRRI		KHAO MAK KHAM::IRGC 29533-1	IRGC 29533	Lao People's Democratic Republic				IRIS 313-11074	ind3
682	3K-IRRI	IRGC 128084	KHAO NAM YEN::IRGC 29546-2	IRGC 29546	Lao People's Democratic Republic				IRIS 313-11075	japx
683	3K-IRRI	IRGC 128094	LAI NOK KHA::IRGC 29604-2	IRGC 29604	Lao People's Democratic Republic				IRIS 313-11076	ind3
684	3K-IRRI	IRGC 128522	LAI HANG HMA::IRGC 29608-2	IRGC 29608	Lao People's Democratic Republic				IRIS 313-11077	trop2
685	3K-IRRI		NON HAI::IRGC 29636-2	IRGC 29636	Lao People's Democratic Republic				IRIS 313-11078	indx
686	3K-IRRI	IRGC 128132	PHAN PHAE::IRGC 29652-2	IRGC 29652	Lao People's Democratic Republic				IRIS 313-11079	ind3
687	3K-IRRI	IRGC 128430	PHAE MEUN LAN::IRGC 29660-1	IRGC 29660	Lao People's Democratic Republic				IRIS 313-11080	ind3
688	3K-IRRI	IRGC 128184	THAO LOUANG::IRGC 29688-2	IRGC 29688	Lao People's Democratic Republic				IRIS 313-11081	ind3
689	3K-IRRI	IRGC 128036	EA DAM HANG DOK::IRGC 29698-2	IRGC 29698	Lao People's Democratic Republic				IRIS 313-11082	ind3
690	3K-IRRI		EA TIA::IRGC 29713-2	IRGC 29713	Lao People's Democratic Republic				IRIS 313-11083	ind3
691	3K-IRRI		KABIN::IRGC 29752-1	IRGC 29752	Cambodia				IRIS 313-11084	ind3
692	3K-IRRI		KHAO HAE::IRGC 29773-3	IRGC 29773	Lao People's Democratic Republic				IRIS 313-11085	indx
693	3K-IRRI	IRGC 128087	KHAO THAMA::IRGC 29838-2	IRGC 29838	Lao People's Democratic Republic				IRIS 313-11086	ind3
694	3K-IRRI		PONG SANG A::IRGC 29881-2	IRGC 29881	Cambodia				IRIS 313-11087	ind3
695	3K-IRRI	IRGC 128170	SRAU KHSAI::IRGC 29896-2	IRGC 29896	Cambodia				IRIS 313-11088	ind3
696	3K-IRRI	IRGC 127824	SRAU THMOR::IRGC 29904-1	IRGC 29904	Cambodia				IRIS 313-11089	ind3
697	3K-IRRI	IRGC 128076	KEO LAI::IRGC 29969-2	IRGC 29969	Lao People's Democratic Republic				IRIS 313-11090	ind3
698	3K-IRRI	IRGC 127515	KHAO NON::IRGC 30051-1	IRGC 30051	Lao People's Democratic Republic				IRIS 313-11091	indx
699	3K-IRRI	IRGC 127516	KHAO PA SIEV::IRGC 30063-1	IRGC 30063	Lao People's Democratic Republic				IRIS 313-11092	admix
700	3K-IRRI	IRGC 128086	KHAO TAM::IRGC 30085-2	IRGC 30085	Lao People's Democratic Republic				IRIS 313-11093	trop2
701	3K-IRRI		MAK BOUAP::IRGC 30106-3	IRGC 30106	Lao People's Democratic Republic				IRIS 313-11094	trop2
702	3K-IRRI	IRGC 128104	MAK EA NAM::IRGC 30131-2	IRGC 30131	Lao People's Democratic Republic				IRIS 313-11095	ind3
703	3K-IRRI		CADUNG SO BLOC 1::IRGC 30231-1	IRGC 30231	Viet Nam				IRIS 313-11096	ind3
704	3K-IRRI	IRGC 127478	KALAGNON::IRGC 30335-1	IRGC 30335	Philippines				IRIS 313-11097	indx
705	3K-IRRI		KOLUBA::IRGC 30463-1	IRGC 30463	Sierra Leone				IRIS 313-11098	ind3
706	3K-IRRI		PECALO::IRGC 30595-2	IRGC 30595	Sierra Leone				IRIS 313-11099	ind2
707	3K-IRRI		MAMON::IRGC 30792-1	IRGC 30792	Liberia				IRIS 313-11100	trop1
708	3K-IRRI	IRGC 128202	Y 115::IRGC 30856-2	IRGC 30856	Liberia				IRIS 313-11101	indx
709	3K-IRRI		D 1-39::IRGC 30868-1	IRGC 30868	Liberia				IRIS 313-11102	trop1
710	3K-IRRI		D 1-147::IRGC 30894-2	IRGC 30894	Liberia				IRIS 313-11103	trop1
711	3K-IRRI		D 3-102::IRGC 30972-1	IRGC 30972	Liberia				IRIS 313-11104	trop1
712	3K-IRRI		D 3-130::IRGC 30986-2	IRGC 30986	Liberia				IRIS 313-11105	trop1
713	3K-IRRI		D 4-193::IRGC 31083-2	IRGC 31083	Liberia				IRIS 313-11106	trop1
714	3K-IRRI		ZANTON::IRGC 31248-1	IRGC 31248	Liberia				IRIS 313-11107	trop1
715	3K-IRRI	IRGC 127194	B 12::IRGC 31293-1	IRGC 31293	Liberia				IRIS 313-11108	ind3
716	3K-IRRI	IRGC 128231	B 106::IRGC 31352-1	IRGC 31352	Liberia				IRIS 313-11109	trop1
717	3K-IRRI	IRGC 128159	SAYAM::IRGC 31538-2	IRGC 31538	Sri Lanka				IRIS 313-11110	ind2
718	3K-IRRI	IRGC 127778	SAITA::IRGC 31618-1	IRGC 31618	Bangladesh				IRIS 313-11111	aus
719	3K-IRRI	IRGC 128308	HIJOL DIGA::IRGC 31655-1	IRGC 31655	Bangladesh				IRIS 313-11112	aus
720	3K-IRRI	IRGC 128069	KAL SHULI::IRGC 31665-2	IRGC 31665	Bangladesh				IRIS 313-11113	ind2
721	3K-IRRI		BIRUI SAIL::IRGC 31745-2	IRGC 31745	Bangladesh				IRIS 313-11114	ind2
722	3K-IRRI	IRGC 128066	KALA MUNA::IRGC 31832-2	IRGC 31832	Bangladesh				IRIS 313-11115	ind2
723	3K-IRRI	IRGC 127532	KORTIK KAIKA::IRGC 31841-1	IRGC 31841	Bangladesh				IRIS 313-11116	aus
724	3K-IRRI	IRGC 127502	KAYELI KUNING::IRGC 31974-1	IRGC 31974	Indonesia				IRIS 313-11117	trop1
725	3K-IRRI		SOC NAU (BIEN THE)::IRGC 32074-1	IRGC 32074	Viet Nam				IRIS 313-11118	ind3
726	3K-IRRI		NEP BUNG::IRGC 32207-1	IRGC 32207	Viet Nam				IRIS 313-11119	indx
727	3K-IRRI	IRGC 127396	GURULEY::IRGC 32441-1	IRGC 32441	Bhutan				IRIS 313-11120	ind2
728	3K-IRRI		GBRA::IRGC 32474-2	IRGC 32474	Liberia				IRIS 313-11121	trop1
729	3K-IRRI	IRGC 128059	IR 1813-694-2::IRGC 32656-2	IRGC 32656	Philippines				IRIS 313-11122	ind1B
730	3K-IRRI	IRGC 127990	BAZAIL 975::IRGC 32816-2	IRGC 32816	Bangladesh				IRIS 313-11123	aus
731	3K-IRRI	IRGC 127991	BAZAIL 980::IRGC 32817-2	IRGC 32817	Bangladesh				IRIS 313-11124	admix
732	3K-IRRI		DHALA AMAN 973::IRGC 32861-1	IRGC 32861	Bangladesh				IRIS 313-11125	admix
733	3K-IRRI	IRGC 127926	ANBAW::IRGC 32932-2	IRGC 32932	Myanmar				IRIS 313-11126	indx
734	3K-IRRI		BUBAW::IRGC 32989-2	IRGC 32989	Myanmar				IRIS 313-11127	trop2
735	3K-IRRI	IRGC 128045	GOKAUNG::IRGC 33079-2	IRGC 33079	Myanmar				IRIS 313-11128	indx
736	3K-IRRI	IRGC 128051	HAORU::IRGC 33090-2	IRGC 33090	Myanmar				IRIS 313-11129	indx
737	3K-IRRI	IRGC 128055	HTAWPATT::IRGC 33125-2	IRGC 33125	Myanmar				IRIS 313-11130	indx
738	3K-IRRI		KALAI::IRGC 33151-2	IRGC 33151	Myanmar				IRIS 313-11131	indx
739	3K-IRRI	IRGC 128065	KALALAN::IRGC 33154-2	IRGC 33154	Myanmar				IRIS 313-11132	indx
740	3K-IRRI	IRGC 127582	LWANKHAN::IRGC 33330-1	IRGC 33330	Myanmar				IRIS 313-11133	ind3
741	3K-IRRI		MANSAT 3::IRGC 33341-1	IRGC 33341	Myanmar				IRIS 313-11134	indx
742	3K-IRRI	IRGC 128108	MAUNG NYO::IRGC 33351-2	IRGC 33351	Myanmar				IRIS 313-11135	ind3
743	3K-IRRI	IRGC 128117	NGAKWE THETYIN::IRGC 33477-2	IRGC 33477	Myanmar				IRIS 313-11136	admix
744	3K-IRRI	IRGC 128118	NGALONGYI::IRGC 33479-2	IRGC 33479	Myanmar				IRIS 313-11137	indx
745	3K-IRRI	IRGC 128119	NGASEIN THEEDAT (C 30)::IRGC 33504-2	IRGC 33504	Myanmar				IRIS 313-11138	ind3
746	3K-IRRI	IRGC 128120	NWACHI MANINE::IRGC 33531-2	IRGC 33531	Myanmar				IRIS 313-11139	indx
747	3K-IRRI	IRGC 128123	PADAN::IRGC 33544-2	IRGC 33544	Myanmar				IRIS 313-11140	ind3
748	3K-IRRI	IRGC 128161	SHWENI::IRGC 33686-2	IRGC 33686	Myanmar				IRIS 313-11141	indx
749	3K-IRRI	IRGC 128162	SHWEPULAY::IRGC 33696-2	IRGC 33696	Myanmar				IRIS 313-11142	ind3
750	3K-IRRI	IRGC 128180	TANBAUNG::IRGC 33732-2	IRGC 33732	Myanmar				IRIS 313-11143	indx
751	3K-IRRI	IRGC 128181	TAUNGDI::IRGC 33746-2	IRGC 33746	Myanmar				IRIS 313-11144	indx
752	3K-IRRI	IRGC 128183	THAKADE THEEDAT::IRGC 33772-2	IRGC 33772	Myanmar				IRIS 313-11145	ind3
753	3K-IRRI	IRGC 128185	THEEDAT NGASEIN::IRGC 33779-2	IRGC 33779	Myanmar				IRIS 313-11146	indx
754	3K-IRRI	IRGC 128198	TYB 11::IRGC 33821-2	IRGC 33821	Myanmar				IRIS 313-11147	indx
755	3K-IRRI	IRGC 128203	YEBAW::IRGC 33875-2	IRGC 33875	Myanmar				IRIS 313-11148	ind3
756	3K-IRRI	IRGC 128204	YODAYA::IRGC 33901-2	IRGC 33901	Myanmar				IRIS 313-11149	ind3
757	3K-IRRI	IRGC 128206	ZEINGYI::IRGC 33923-2	IRGC 33923	Myanmar				IRIS 313-11150	ind3
758	3K-IRRI	IRGC 128035	E 21::IRGC 33929-2	IRGC 33929	Myanmar				IRIS 313-11151	ind3
759	3K-IRRI	IRGC 127103	AC 74::IRGC 33967-1	IRGC 33967	India				IRIS 313-11152	ind1A
760	3K-IRRI	IRGC 128517	CT 45::IRGC 34027-2	IRGC 34027	India				IRIS 313-11153	temp
761	3K-IRRI	IRGC 127318	DHARIAL::IRGC 34034-1	IRGC 34034	Bangladesh				IRIS 313-11154	aus
762	3K-IRRI	IRGC 128326	K 113::IRGC 34107-1	IRGC 34107	India				IRIS 313-11155	temp
763	3K-IRRI	IRGC 127522	KHUDWANI ACC 202::IRGC 34154-1	IRGC 34154	India				IRIS 313-11156	japx
764	3K-IRRI	IRGC 127863	T KAUG PAO::IRGC 34182-1	IRGC 34182	Taiwan				IRIS 313-11157	ind1A
765	3K-IRRI	IRGC 127644	NAN ERH AI 5::IRGC 34255-1	IRGC 34255	China				IRIS 313-11158	ind1A
766	3K-IRRI		HYB 5-2-1-1-4::IRGC 34283-2	IRGC 34283	Cote d'Ivoire				IRIS 313-11159	trop1
767	3K-IRRI	IRGC 127195	B 38::IRGC 34409-1	IRGC 34409	Liberia				IRIS 313-11160	ind3
768	3K-IRRI		SADU::IRGC 34514-2	IRGC 34514	Liberia				IRIS 313-11161	trop1
769	3K-IRRI	IRGC 127775	SABRAN::IRGC 34630-1	IRGC 34630	Indonesia				IRIS 313-11162	ind1B
770	3K-IRRI	IRGC 127652	NATEL BORO::IRGC 34749-1	IRGC 34749	Bangladesh				IRIS 313-11163	aus
771	3K-IRRI	IRGC 127205	BAK TULSI::IRGC 34831-1	IRGC 34831	India				IRIS 313-11164	aus
772	3K-IRRI	IRGC 127993	BENA JHUPI::IRGC 34850-2	IRGC 34850	India				IRIS 313-11165	aus
773	3K-IRRI	IRGC 127224	BHUT MURI::IRGC 34861-1	IRGC 34861	India				IRIS 313-11166	aus
774	3K-IRRI	IRGC 127343	DUBRAJ::IRGC 34904-1	IRGC 34904	India				IRIS 313-11167	ind2
775	3K-IRRI	IRGC 127473	KADA CHOPA::IRGC 34954-1	IRGC 34954	India				IRIS 313-11168	aus
776	3K-IRRI		KANAI BASHI::IRGC 34967-1	IRGC 34967	India				IRIS 313-11169	aus
777	3K-IRRI	IRGC 127547	LAL TAURA::IRGC 35017-1	IRGC 35017	India				IRIS 313-11170	aus
778	3K-IRRI	IRGC 127583	M 142::IRGC 35054-1	IRGC 35054	India				IRIS 313-11171	aus
779	3K-IRRI	IRGC 127762	RANI BHOG::IRGC 35109-1	IRGC 35109	India				IRIS 313-11172	aus
780	3K-IRRI	IRGC 127776	SADA AUS::IRGC 35117-1	IRGC 35117	India				IRIS 313-11173	aus
781	3K-IRRI	IRGC 127817	SLO 19::IRGC 35157-1	IRGC 35157	India				IRIS 313-11174	aus
782	3K-IRRI	IRGC 127821	SONA AUS::IRGC 35160-1	IRGC 35160	India				IRIS 313-11175	aus
783	3K-IRRI	IRGC 127831	SXC 216::IRGC 35175-1	IRGC 35175	India				IRIS 313-11176	indx
784	3K-IRRI	IRGC 127309	DELI POCONG::IRGC 35265-1	IRGC 35265	Indonesia				IRIS 313-11177	indx
785	3K-IRRI	IRGC 128152	RUJAK DANAN::IRGC 35446-2	IRGC 35446	Indonesia				IRIS 313-11178	ind3
786	3K-IRRI	IRGC 127810	SI OMPAN LAMA::IRGC 35481-1	IRGC 35481	Indonesia				IRIS 313-11179	ind3
787	3K-IRRI	IRGC 128166	SIPULUIK ARANG::IRGC 35488-2	IRGC 35488	Indonesia				IRIS 313-11180	ind3
788	3K-IRRI	IRGC 128179	TAMBA PERAK::IRGC 35534-2	IRGC 35534	Indonesia				IRIS 313-11181	ind3
789	3K-IRRI	IRGC 128009	CEMPO CINA::IRGC 35581-2	IRGC 35581	Indonesia				IRIS 313-11182	ind3
790	3K-IRRI		KETAN LEMBAYUNGAN::IRGC 35745-2	IRGC 35745	Indonesia				IRIS 313-11183	trop1
791	3K-IRRI	IRGC 128424	PAIZ AMBARBU::IRGC 36179-1	IRGC 36179	Union of Soviet Socialist Republics (Former)				IRIS 313-11189	admix
792	3K-IRRI	IRGC 127763	RANRUWAN::IRGC 36360-1	IRGC 36360	Sri Lanka				IRIS 313-11191	aus
793	3K-IRRI	IRGC 127997	BKN 7130-1017-2::IRGC 36531-2	IRGC 36531	Thailand				IRIS 313-11192	ind3
794	3K-IRRI	IRGC 128040	GAHB AWY 2-1::IRGC 36549-2	IRGC 36549	Thailand				IRIS 313-11193	ind3
795	3K-IRRI		KHAO PAH 8-5-38::IRGC 36587-1	IRGC 36587	Thailand				IRIS 313-11194	ind3
796	3K-IRRI	IRGC 128344	KHAW KAR 13::IRGC 36711-1	IRGC 36711	Myanmar				IRIS 313-11195	trop2
797	3K-IRRI		DICULA::IRGC 36729-2	IRGC 36729	Philippines				IRIS 313-11196	ind3
798	3K-IRRI	IRGC 127471	K 17-9-1-1::IRGC 36778-1	IRGC 36778	India				IRIS 313-11197	indx
799	3K-IRRI		K 78-13::IRGC 36794-2	IRGC 36794	India				IRIS 313-11198	temp
800	3K-IRRI	IRGC 128176	SYNTHETIC SATIVA::IRGC 36842-2	IRGC 36842	India				IRIS 313-11199	indx
801	3K-IRRI	IRGC 128002	BR 52-87-1::IRGC 36849-2	IRGC 36849	India				IRIS 313-11200	ind1B
802	3K-IRRI		CHING HSI 15::IRGC 36852-1	IRGC 36852	China				IRIS 313-11201	temp
803	3K-IRRI	IRGC 127920	4583::IRGC 36894-2	IRGC 36894	China				IRIS 313-11202	temp
804	3K-IRRI	IRGC 128044	GOCHIAGARI::IRGC 37086-2	IRGC 37086	Bangladesh				IRIS 313-11203	ind2
805	3K-IRRI	IRGC 128072	KARTIKHAMA::IRGC 37149-2	IRGC 37149	Bangladesh				IRIS 313-11204	indx
806	3K-IRRI	IRGC 128075	KAZALSAIL::IRGC 37161-2	IRGC 37161	Bangladesh				IRIS 313-11205	ind2
807	3K-IRRI	IRGC 128092	KUMRI::IRGC 37182-2	IRGC 37182	Bangladesh				IRIS 313-11206	indx
808	3K-IRRI	IRGC 128126	PAIRJAT::IRGC 37252-2	IRGC 37252	Bangladesh				IRIS 313-11207	ind2
809	3K-IRRI	IRGC 128129	PARIJAT::IRGC 37272-2	IRGC 37272	Bangladesh				IRIS 313-11208	indx
810	3K-IRRI		VADAI::IRGC 37341-1	IRGC 37341	Bangladesh				IRIS 313-11209	ind2
811	3K-IRRI	IRGC 127911	ZARBASAIL::IRGC 37346-1	IRGC 37346	Bangladesh				IRIS 313-11210	aus
812	3K-IRRI	IRGC 128063	KADAMSAIL::IRGC 37468-2	IRGC 37468	Bangladesh				IRIS 313-11211	ind2
813	3K-IRRI		KALOBONA::IRGC 37478-2	IRGC 37478	Bangladesh				IRIS 313-11212	ind2
814	3K-IRRI	IRGC 127648	NARIKEL BADI::IRGC 37550-1	IRGC 37550	Bangladesh				IRIS 313-11213	aus
815	3K-IRRI	IRGC 127799	SHITTA AMAN::IRGC 37596-1	IRGC 37596	Bangladesh				IRIS 313-11214	aus
816	3K-IRRI	IRGC 128082	KHAMA 1183::IRGC 37685-2	IRGC 37685	Bangladesh				IRIS 313-11216	aus
817	3K-IRRI		LAL AMAN 207::IRGC 37754-1	IRGC 37754	Bangladesh				IRIS 313-11217	aro
818	3K-IRRI	IRGC 127982	BADSHABHOG 4-60::IRGC 37793-2	IRGC 37793	Bangladesh				IRIS 313-11218	aro
819	3K-IRRI	IRGC 127998	BLACK 28-564::IRGC 37815-2	IRGC 37815	Bangladesh				IRIS 313-11219	ind2
820	3K-IRRI	IRGC 128015	CHITRAJ 14-134::IRGC 37837-2	IRGC 37837	Bangladesh				IRIS 313-11220	ind2
821	3K-IRRI	IRGC 128022	CYLINDRICAL 30-605::IRGC 37845-2	IRGC 37845	Bangladesh				IRIS 313-11221	ind2
822	3K-IRRI		DUDHSWAR 15-157::IRGC 37967-2	IRGC 37967	Bangladesh				IRIS 313-11222	ind2
823	3K-IRRI	IRGC 128122	OVAL RED 29 B 601::IRGC 38130-2	IRGC 38130	Bangladesh				IRIS 313-11223	aro
824	3K-IRRI	IRGC 128130	PATNAI 31-679::IRGC 38149-2	IRGC 38149	Bangladesh				IRIS 313-11224	ind2
825	3K-IRRI		SADAJIRA (DEEP STRAW) 16-194::IRGC 38251-2	IRGC 38251	Bangladesh				IRIS 313-11225	indx
826	3K-IRRI	IRGC 128153	SADAJIRA 19-258::IRGC 38293-2	IRGC 38293	Bangladesh				IRIS 313-11226	ind2
827	3K-IRRI	IRGC 128154	SADAJIRA 19-317::IRGC 38344-2	IRGC 38344	Bangladesh				IRIS 313-11227	ind2
828	3K-IRRI	IRGC 128155	SADAJIRA 19-339::IRGC 38361-2	IRGC 38361	Bangladesh				IRIS 313-11228	ind2
