DNA UNIQUE ID	DNA Othername source
CX270	TAICHUNGNATIVE1
CX273	
CX274	
CX275	
CX276	
CX277	
CX278	
CX28	
CX280	
CX281	
CX282	Lijiangxintuanheigu
CX284	Han 502
CX285	Nonglinnuo
CX286	
CX287	
CX288	
CX29	
CX290	Duo 57
CX291	
CX296	
CX3	
CX30	
CX303	
CX304	Luyin 46
CX305	
CX306	Mongolia Rice
CX307	
CX31	
CX313	
CX314	
CX315	Zidao
CX316	
CX317	
CX318	Heiheaihui
CX319	Mengguandamagu
CX32	
CX328	Baoxuan 21
CX329	Jinchuanyihao
CX33	
CX330	Yueguang
CX34	
CX340	Hua 564
CX341	Hua 565
CX342	Wanxian 763
CX343	Wanxian 77
CX344	Hexi 41
CX345	Yungeng 23
CX346	
CX347	
CX348	Zhonghua 1
CX349	
CX35	
CX350	Wuyugeng 20
CX351	
CX352	
CX353	
CX354	
CX355	Yunlu 102
CX356	Yandao 8
CX357	
CX358	
CX359	Yunlu 103
CX360	
CX361	
CX362	
CX363	
CX364	
CX365	Compact Plant Type Material
CX366	Ganwanxian 37 (926)
CX367	Haogelao
CX368	
CX369	
CX37	
CX370	Chenghui 727
CX371	
CX372	
CX373	
CX374	
CX375	
CX376	
CX377	
CX378	Huhan 15
CX379	
CX380	Yandao 9
CX381	
CX382	
CX383	Hongza
CX384	Fengza
CX385	
CX386	
CX387	
CX388	
CX389	Jinyuan 85
CX390	Yuelianggu
CX391	
CX392	
CX393	Huangsizhan
CX394	Molizhanxuan
CX395	
CX396	Guandong 194 (Soft Rice)
CX397	Nangeng 46 (Soft Rice)
CX399	
CX4	
CX400	
CX401	
CX402	
CX403	
CX42	
CX43	
CX431	Duoxi 1
CX44	
CX45	
CX46	
CX47	Diangeng
CX48	
CX49	
CX5	
CX50	
CX51	
CX52	Diandun 502
CX53	Jiangxisimiao
CX534	Tongnian 1
CX54	Linyitangdao
CX542	
CX548	Zhongjian 100
CX55	Pengshantieganzhan
CX56	Yunguang 8
CX57	Zhongchao 123
CX58	
CX59	
CX6	
CX60	
CX61	
CX63	
CX64	
CX65	
CX66	
CX67	
CX68	
CX69	
CX70	
CX71	
CX72	
CX73	
CX74	
CX75	
CX76	
CX77	
CX78	
CX79	
CX8	Chenghui 448
CX80	
CX82	
CX83	
CX84	
CX85	
CX86	
CX87	
CX88	Huanyangnian
CX89	
CX9	Fengaizhan
CX90	
CX91	
CX92	
CX93	
CX94	
CX96	
CX97	
CX98	
CX99	
